Date,Open,High,Low,Close,Adj Close,Volume
2014-02-13,180.839996,183.199997,180.830002,183.009995,165.744354,100542200
2014-02-14,182.839996,184.360001,182.669998,184.020004,166.659103,96498400
2014-02-18,184.179993,184.490005,183.649994,184.240005,166.858337,80460900
2014-02-19,183.759995,184.949997,182.869995,183.020004,165.753448,126524300
2014-02-20,183.270004,184.520004,182.600006,184.100006,166.731537,104998100
2014-02-21,184.449997,184.889999,183.800003,183.889999,166.541351,118116400
2014-02-24,184.279999,186.149994,184.199997,184.910004,167.465149,114063900
2014-02-25,185.059998,185.589996,184.229996,184.839996,167.401733,117085000
2014-02-26,185.110001,185.600006,184.330002,184.850006,167.410782,98677200
2014-02-27,184.580002,185.869995,184.369995,185.820007,168.289276,93880800
2014-02-28,185.789993,187.149994,185.050003,186.289993,168.714920,150842000
2014-03-03,184.649994,185.449997,183.750000,184.979996,167.528534,167748500
2014-03-04,186.789993,187.979996,186.750000,187.580002,169.883240,167545900
2014-03-05,187.740005,188.070007,187.449997,187.750000,170.037186,88376900
2014-03-06,188.210007,188.610001,187.779999,188.179993,170.426620,82516500
2014-03-07,188.960007,188.960007,187.429993,188.259995,170.499100,114513500
2014-03-10,187.970001,188.229996,187.080002,188.160004,170.408493,74939200
2014-03-11,188.440002,188.710007,186.800003,187.229996,169.566254,99009100
2014-03-12,186.320007,187.350006,185.899994,187.279999,169.611542,104824400
2014-03-13,187.839996,187.990005,184.660004,185.179993,167.709656,155014300
2014-03-14,184.850006,185.800003,184.440002,184.660004,167.238724,153919600
2014-03-17,185.589996,186.770004,185.509995,186.330002,168.751160,98359500
2014-03-18,186.710007,187.910004,186.509995,187.660004,169.955658,101804600
2014-03-19,187.679993,187.940002,185.470001,186.660004,169.050003,176267300
2014-03-20,186.250000,187.889999,185.919998,187.750000,170.037186,117241000
2014-03-21,187.710007,189.020004,186.029999,186.199997,169.377365,163128000
2014-03-24,186.839996,187.070007,184.619995,185.429993,168.676895,121411000
2014-03-25,186.369995,186.940002,185.270004,186.309998,169.477402,103852000
2014-03-26,187.039993,187.339996,184.919998,184.970001,168.258484,119843000
2014-03-27,184.750000,185.339996,183.899994,184.580002,167.903732,142383000
2014-03-28,185.110001,186.419998,185.000000,185.490005,168.731522,101642000
2014-03-31,186.669998,187.300003,185.520004,187.009995,170.114197,99745000
2014-04-01,187.619995,188.360001,187.000000,188.250000,171.242111,89193000
2014-04-02,188.490005,189.130005,188.139999,188.880005,171.815216,78774000
2014-04-03,189.169998,189.220001,188.050003,188.630005,171.587814,77435000
2014-04-04,189.660004,189.699997,186.100006,186.399994,169.559265,169381000
2014-04-07,185.949997,186.259995,183.960007,184.339996,167.685410,140803000
2014-04-08,184.259995,185.399994,183.589996,185.100006,168.376740,112660000
2014-04-09,185.600006,187.149994,185.059998,187.089996,170.186935,100254000
